column,plain_english_meaning,timing,example_values_or_range
patient_id,Synthetic patient identifier.,baseline_or_administrative,varies
encounter_id,Synthetic hospital encounter identifier.,baseline_or_administrative,varies
hospital_site,Hospital site label.,baseline_or_administrative,Site_A; Site_B; Site_C
unit,ICU unit caring for the patient.,baseline_or_administrative,CVICU; MICU; Neuro_ICU; SICU; Trauma_ICU
room_number,Synthetic ICU room number.,baseline_or_administrative,201.0 to 830.0
rt_id,Synthetic respiratory therapist identifier.,baseline_or_administrative,varies
physio_id,Synthetic physiotherapist identifier.,baseline_or_administrative,varies
wean_date,Date of planned weaning trial.,baseline_or_administrative,varies
charting_system,Electronic charting system label.,baseline_or_administrative,Cerner; Epic; Meditech
age,Patient age in years.,baseline_or_administrative,20.0 to 94.0
sex,Recorded sex category.,baseline_or_administrative,Female; Male; Other
height_cm,Height in centimetres.,baseline_or_administrative,140.0 to 205.0
weight_kg,Weight in kilograms.,baseline_or_administrative,38.8 to 197.9
bmi,Body mass index.,baseline_or_administrative,16.0 to 52.9
smoking_status,Smoking history category.,baseline_or_administrative,current; former; never
baseline_mobility,Patient's usual mobility before acute illness.,baseline_or_administrative,bedbound; independent; limited_home; requires_assistance; walks_with_aid
frailty_score,Synthetic frailty score from 1 to 9.,baseline_or_administrative,1; 2; 3; 4; 5; 6; 7; 8; 9
copd,History of COPD.,baseline_or_administrative,No; Yes
asthma,History of asthma.,baseline_or_administrative,No; Yes
chf,History of congestive heart failure.,baseline_or_administrative,No; Yes
ischemic_heart_disease,History of ischemic heart disease.,baseline_or_administrative,No; Yes
atrial_fibrillation,History of atrial fibrillation.,baseline_or_administrative,No; Yes
renal_failure,History of renal failure or significant renal dysfunction.,baseline_or_administrative,No; Yes
neuromuscular_disease,Known neuromuscular condition category.,baseline_or_administrative,ALS; critical_illness_polyneuropathy; myasthenia; none; other; spinal_cord_injury
hypothyroidism,History of hypothyroidism.,baseline_or_administrative,No; Yes
obesity,BMI-based obesity flag.,baseline_or_administrative,No; Yes
osa,History of obstructive sleep apnea.,baseline_or_administrative,No; Yes
home_oxygen,Home oxygen use before admission.,baseline_or_administrative,No; Yes
primary_diagnosis,Primary reason for ICU respiratory failure.,baseline_or_administrative,ards; asthma_exacerbation; chf_exacerbation; copd_exacerbation; neuromuscular; pneumonia; post_op; sepsis; stroke; trauma
admission_source,Source before ICU admission.,baseline_or_administrative,ED; OR; outside_hospital; transfer; ward
icu_day,Day of ICU stay at today's planned trial.,baseline_or_administrative,1.0 to 23.0
vent_day,Day of invasive ventilation at today's planned trial.,baseline_or_administrative,1.0 to 21.0
days_since_first_weaning_trial,Days since the first weaning attempt.,baseline_or_administrative,0.0 to 21.0
airway_type,Artificial airway type.,baseline_or_administrative,ETT; tracheostomy
tracheostomy_present,Whether a tracheostomy is present.,baseline_or_administrative,No; Yes
planned_wean_minutes_today,Planned duration of today's weaning trial in minutes.,planned_trial,120; 180; 240; 30; 360; 480; 60; 90
planned_weaning_method_today,Planned weaning method for today's trial.,outcome_or_after_trial,capping_trial; cpap; high_flow_trach; pressure_support; speaking_valve; t_piece; trach_collar
planned_pressure_support_cmH2O,Planned pressure support setting for today's trial when applicable.,planned_trial,5.0 to 17.0
planned_peep_cmH2O,Planned PEEP setting for today's trial.,planned_trial,0.0 to 13.0
planned_fio2,Planned FiO2 for today's trial.,planned_trial,0.21 to 0.66
planned_cpap_cmH2O,Planned CPAP setting for today's trial when applicable.,planned_trial,10.0; 11.0; 12; 12.0; 3; 3.0; 4.0; 5.0; 6.0; 7.0; 8.0; 9.0
planned_high_flow_lpm,Planned high-flow rate in litres per minute when applicable.,planned_trial,15.0 to 60.0
planned_speaking_valve_use,Whether speaking valve use was planned.,planned_trial,No; Yes
planned_capping_trial,Whether a capping trial was planned.,planned_trial,No; Yes
planned_physio_during_trial,Whether physiotherapy was planned during today's trial.,early_trial,No; Yes
planned_mobility_goal_today,Planned mobility goal associated with today's trial.,outcome_or_after_trial,marching; none; passive_range_of_motion; sit_edge_of_bed; stand; transfer_to_chair; walk
planned_wean_minutes_t_minus_1,Synthetic clinical feature.,prior_weaning_history,120; 180; 240; 30; 360; 60; 90
actual_wean_minutes_t_minus_1,Synthetic clinical feature.,prior_weaning_history,2.0 to 356.0
completion_percent_t_minus_1,Synthetic clinical feature.,prior_weaning_history,4.4 to 115.0
weaning_method_t_minus_1,Synthetic clinical feature.,prior_weaning_history,capping_trial; cpap; high_flow_trach; pressure_support; speaking_valve; t_piece; trach_collar
avg_rr_during_wean_t_minus_1,Synthetic clinical feature.,prior_weaning_history,10.0 to 42.9
max_rr_during_wean_t_minus_1,Synthetic clinical feature.,prior_weaning_history,10.0 to 52.4
avg_hr_during_wean_t_minus_1,Synthetic clinical feature.,prior_weaning_history,48.0 to 141.8
max_hr_during_wean_t_minus_1,Synthetic clinical feature.,prior_weaning_history,56.4 to 163.5
min_spo2_during_wean_t_minus_1,Synthetic clinical feature.,prior_weaning_history,80.2 to 100.0
avg_spo2_during_wean_t_minus_1,Synthetic clinical feature.,prior_weaning_history,80.2 to 100.0
max_wob_score_t_minus_1,Synthetic clinical feature.,prior_weaning_history,0; 1; 2; 3; 4
dyspnea_borg_t_minus_1,Synthetic clinical feature.,prior_weaning_history,0; 1; 10; 2; 3; 4; 5; 6; 7; 8; 9
diaphoresis_t_minus_1,Synthetic clinical feature.,prior_weaning_history,mild; moderate; none; severe
accessory_muscle_use_t_minus_1,Synthetic clinical feature.,prior_weaning_history,mild; moderate; none; severe
anxiety_during_wean_t_minus_1,Synthetic clinical feature.,prior_weaning_history,mild; moderate; none; severe
physio_during_wean_t_minus_1,Synthetic clinical feature.,prior_weaning_history,No; Yes
